Policies_Account_1_Full_User_2,Policies_Account_1_Full_User_2,urn:dece:org:org:dece:LLASP,urn:dece:org:org:dece:LLASP,urn:dece:role:lasp:linked,urn:dece:role:lasp:linked,full,full,urn:dece:type:rating:US:MPAA:G,US,Created
Policies_Account_1_Standard_User_2,Policies_Account_1_Standard_User_2,urn:dece:org:org:dece:ACCESCS,urn:dece:org:org:dece:ACCESCS,urn:dece:role:accessportal:customersupport,urn:dece:role:accessportal:customersupport,standard,standard,urn:dece:type:rating:US:MPAA:G,US,ForbiddenUserAccessToPolicyNotAuthorized
Policies_Account_1_Basic_User_2,Policies_Account_1_Basic_User_2,urn:dece:org:org:dece:DECE,urn:dece:org:org:dece:DECE,urn:dece:role:dece,urn:dece:role:dece,basic,basic,urn:dece:type:rating:US:MPAA:G,US,ForbiddenUserAccessToPolicyNotAuthorized
Policies_Account_1_Full_User_1,Policies_Account_1_Full_User_2,urn:dece:org:org:dece:coord:cs,urn:dece:org:org:dece:coord:cs,urn:dece:role:coordinator:customersupport,urn:dece:role:coordinator:customersupport,full,full,urn:dece:type:rating:US:MPAA:G,US,Created
Policies_Account_1_Full_User_2,Policies_Account_1_Standard_User_2,urn:dece:org:org:dece:DECE,urn:dece:org:org:dece:DECE,urn:dece:role:dece,urn:dece:role:dece,full,standard,urn:dece:type:rating:US:MPAA:G,US,Created
Policies_Account_1_Full_User_2,Policies_Account_1_Basic_User_2,urn:dece:org:org:dece:dece:cs,urn:dece:org:org:dece:dece:cs,urn:dece:role:dece:customersupport,urn:dece:role:dece:customersupport,full,basic,urn:dece:type:rating:US:MPAA:G,US,Created
Policies_Account_1_Standard_User_2,Policies_Account_1_Full_User_2,urn:dece:org:org:dece:DEV,urn:dece:org:org:dece:DEV,urn:dece:role:device,urn:dece:role:device,standard,full,urn:dece:type:rating:US:MPAA:G,US,ForbiddenUserAccessToPolicyNotAuthorized
Policies_Account_1_Standard_User_1,Policies_Account_1_Standard_User_2,urn:dece:org:org:dece:DLASP,urn:dece:org:org:dece:DLASP,urn:dece:role:lasp:dynamic,urn:dece:role:lasp:dynamic,standard,standard,urn:dece:type:rating:US:MPAA:G,US,ForbiddenUserAccessToPolicyNotAuthorized
Policies_Account_1_Standard_User_2,Policies_Account_1_Basic_User_2,urn:dece:org:org:dece:DLASP_CS_1,urn:dece:org:org:dece:DLASP_CS_1,urn:dece:role:lasp:dynamic:customersupport,urn:dece:role:lasp:dynamic:customersupport,standard,basic,urn:dece:type:rating:US:MPAA:G,US,ForbiddenUserAccessToPolicyNotAuthorized
Policies_Account_1_Basic_User_2,Policies_Account_1_Full_User_2,urn:dece:org:org:dece:ACCESS,urn:dece:org:org:dece:ACCESS,urn:dece:role:accessportal,urn:dece:role:accessportal,basic,full,urn:dece:type:rating:US:MPAA:G,US,ForbiddenUserAccessToPolicyNotAuthorized
Policies_Account_1_Basic_User_2,Policies_Account_1_Standard_User_2,urn:dece:org:org:dece:LLASP_CS_1,urn:dece:org:org:dece:LLASP_CS_1,urn:dece:role:lasp:linked:customersupport,urn:dece:role:lasp:linked:customersupport,basic,standard,urn:dece:type:rating:US:MPAA:G,US,ForbiddenUserAccessToPolicyNotAuthorized
Policies_Account_1_Standard_User_2,Policies_Account_1_Full_User_2,urn:dece:org:org:dece:coord:cs,urn:dece:org:org:dece:coord:cs,urn:dece:role:coordinator:customersupport,urn:dece:role:coordinator:customersupport,standard,full,urn:dece:type:rating:US:MPAA:G,US,Created
Policies_Account_1_Standard_User_1,Policies_Account_1_Standard_User_2,urn:dece:org:org:dece:dece:cs,urn:dece:org:org:dece:dece:cs,urn:dece:role:dece:customersupport,urn:dece:role:dece:customersupport,standard,standard,urn:dece:type:rating:US:MPAA:G,US,Created
Policies_Account_1_Standard_User_2,Policies_Account_1_Basic_User_2,urn:dece:org:org:dece:coord:cs,urn:dece:org:org:dece:coord:cs,urn:dece:role:coordinator:customersupport,urn:dece:role:coordinator:customersupport,standard,basic,urn:dece:type:rating:US:MPAA:G,US,Created
Policies_Account_1_Basic_User_2,Policies_Account_1_Full_User_2,urn:dece:org:org:dece:coord:cs,urn:dece:org:org:dece:coord:cs,urn:dece:role:coordinator:customersupport,urn:dece:role:coordinator:customersupport,basic,full,urn:dece:type:rating:US:MPAA:G,US,Created
Policies_Account_1_Basic_User_2,Policies_Account_1_Standard_User_2,urn:dece:org:org:dece:dece:cs,urn:dece:org:org:dece:dece:cs,urn:dece:role:dece:customersupport,urn:dece:role:dece:customersupport,basic,standard,urn:dece:type:rating:US:MPAA:G,US,Created
Policies_Account_1_Basic_User_1,Policies_Account_1_Basic_User_2,urn:dece:org:org:dece:coord:cs,urn:dece:org:org:dece:coord:cs,urn:dece:role:coordinator:customersupport,urn:dece:role:coordinator:customersupport,basic,basic,urn:dece:type:rating:US:MPAA:G,US,Created
Policies_Account_1_Full_User_1,Policies_Account_2_Full_User_2,urn:dece:org:org:dece:RET,urn:dece:org:org:dece:RET_CS_1,urn:dece:role:retailer,urn:dece:role:retailer:customersupport,full,full,urn:dece:type:rating:US:MPAA:G,US,BadRequestPolicyActorInvalid
